id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
488;A;16;15;16;20;15;16;16;15;15;16;3;11;11;12;13;14;2;2;15;14;14;15;16;15;3;0;F;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
489;A;17;12;15;20;14;14;14;13;14;13;2;12;11;12;11;9;2;2;14;13;13;15;15;14;3;0;F;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
490;A;16;12;13;18;15;16;16;13;15;13;3;15;11;15;10;10;4;2;12;11;15;10;10;4;2;0;M;5;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;1;Buena
491;A;16;18;17;18;14;15;17;14;16;15;3;11;13;14;14;12;5;2;17;14;14;17;17;17;3;0;F;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
492;A;16;15;14;19;16;15;17;15;16;14;3;11;12;12;13;12;5;2;12;15;14;15;14;12;2;0;F;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
493;A;16;9;10;17;12;11;10;11;12;13;2;11;11;7;8;9;4;1;12;11;10;9;11;12;2;0;M;5;deuda;Ni Facil ni Dificil;Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;2;Media
494;A;17;9;11;15;11;11;9;10;10;11;2;11;11;7;7;9;2;1;12;12;11;9;11;10;2;0;M;5;deuda;Ni Facil ni Dificil;Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
495;A;17;14;14;19;17;16;14;14;17;16;3;11;10;12;12;11;4;2;15;14;13;14;16;16;3;0;M;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
496;A;17;9;10;17;11;11;9;11;12;11;2;11;11;7;8;9;2;1;11;12;10;8;15;10;2;0;M;5;deuda;Ni Facil ni Dificil;Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;1;Media
497;A;17;14;15;20;15;13;16;15;13;13;3;11;11;15;14;15;5;2;14;13;12;14;17;18;3;0;F;5;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
498;A;16;9;13;18;12;12;12;10;12;12;2;11;11;9;7;6;2;1;11;11;11;11;8;11;2;0;M;5;deuda;Ni Facil ni Dificil;Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;2;Media
499;A;16;15;17;20;14;14;17;14;14;16;3;11;12;13;14;15;5;2;16;14;14;16;16;16;3;0;F;5;deuda;Facil;Ni Facil ni Dificil;Facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
