id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
229;H;14;16;17;20;16;20;15;17;20;19;3;11;12;11;15;18;18;3;12;15;12;13;12;15;2;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
230;H;14;9;9;15;11;11;10;8;10;5;1;11;11;9;6;7;5;1;11;11;15;5;6;8;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
231;H;14;16;18;19;16;16;15;15;17;17;3;11;14;14;16;15;11;2;16;16;16;14;13;15;3;0;M;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
232;H;15;16;18;17;18;20;16;16;17;20;3;16;14;13;16;14;16;3;16;15;16;14;14;15;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
233;H;14;14;14;18;19;12;11;15;19;19;3;13;14;14;12;13;13;2;13;17;16;12;16;17;3;0;F;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
234;H;14;16;17;18;18;15;16;15;18;18;3;13;11;11;13;15;12;2;17;17;16;13;17;16;3;0;M;4;deuda;Muy facil;Ni facil ni dificil;Muy facil;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
235;H;15;14;16;19;17;15;15;16;17;17;3;14;14;11;12;17;15;2;12;16;16;12;14;15;3;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
236;H;14;14;16;19;17;19;12;14;17;19;3;13;12;13;13;14;12;2;11;15;16;12;11;14;2;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
237;H;15;17;19;20;19;19;18;18;20;20;3;14;12;16;16;15;12;3;13;16;16;13;15;12;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
238;H;15;14;14;19;14;15;14;16;17;17;3;11;11;10;12;11;11;2;13;14;16;12;13;12;2;0;M;3;deuda;Facil;Ni facil ni dificil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
239;H;15;15;18;20;17;16;16;17;18;17;3;13;16;16;14;15;12;3;13;13;15;14;14;11;2;0;M;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
240;SC1;14;19;20;20;20;20;20;20;20;20;3;18;18;19;18;20;20;3;19;19;17;17;20;20;3;1;M;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
241;SC1;14;19;20;20;20;20;20;20;20;20;3;20;20;20;20;20;20;3;19;19;18;19;20;20;3;1;F;4;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
242;SC1;15;19;20;20;20;20;20;20;20;20;3;20;19;19;20;20;20;3;19;19;19;19;20;20;3;1;F;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
243;SC1;15;18;20;19;19;19;20;19;20;20;3;20;19;19;19;18;20;3;19;18;14;18;16;19;3;1;M;4;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
244;SC1;15;14;15;19;20;20;19;19;17;20;3;19;19;18;19;18;20;3;17;20;15;18;16;20;3;1;M;4;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
245;SC1;15;17;20;19;19;19;20;19;20;20;3;19;20;19;19;19;20;3;17;16;16;16;16;18;3;1;M;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
246;SC2;15;12;17;20;19;19;17;20;19;20;3;11;11;12;12;10;10;2;12;13;12;15;13;11;2;1;M;3;beca;Facil;Ni facil ni dificil;Muy facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
247;SC2;14;16;20;20;20;19;19;19;20;20;3;13;16;14;14;16;13;3;18;19;16;16;19;19;3;1;M;3;beca;Muy facil;Facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
