id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
265;A;15;14;14;16;14;14;12;14;13;13;2;13;15;14;14;13;16;3;13;13;14;13;14;16;2;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
266;A;16;11;13;18;11;12;12;12;11;12;2;11;11;13;11;10;13;2;15;15;15;13;13;12;2;0;M;4;deuda;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;3;Buena
267;A;15;15;16;17;14;13;12;14;13;12;2;16;16;14;15;16;16;3;14;14;14;13;13;16;3;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;2 horas;Satisfecho;1;Buena
268;A;16;10;8;16;11;11;11;12;10;6;2;11;14;10;11;13;14;2;11;11;10;8;12;8;2;0;F;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;1;Media
269;A;15;17;14;17;13;12;12;12;12;13;2;14;15;15;14;12;15;3;15;16;16;12;14;13;3;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
270;A;15;17;17;20;16;16;16;16;17;17;3;17;18;17;16;16;18;3;17;15;18;17;14;19;3;0;F;4;deuda;Facil;Muy Facil;Muy Facil;Facil;Excelente;De 4 horas a más;Muy satisfecho;1;Muy buena
271;A;16;13;14;19;13;12;12;12;12;13;2;14;12;14;12;13;15;2;13;11;14;10;12;15;2;0;F;4;deuda;Ni Facil ni Dificil;Facil;Facil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;4;Buena
272;A;15;18;19;20;17;17;16;16;17;17;3;17;19;18;17;19;19;3;18;19;19;18;17;20;3;0;M;4;deuda;Muy Facil;Muy Facil;Muy Facil;Muy Facil;Excelente;De 4 horas a más;Muy satisfecho;2;Muy buena
273;A;15;12;14;18;12;12;12;12;12;12;2;15;13;15;12;13;15;2;14;15;15;12;13;14;2;0;F;4;deuda;Facil;Facil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;1;Buena
274;A;16;11;10;16;11;11;11;11;11;11;2;13;13;12;9;13;14;2;11;12;12;7;12;13;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;4;Media
275;A;16;12;13;17;12;12;12;12;11;12;2;12;13;13;11;14;14;2;15;13;14;12;13;15;2;0;M;4;deuda;Facil;Facil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;2;Buena
276;A;16;12;13;18;11;11;8;7;13;15;2;12;13;11;10;14;15;2;14;13;10;6;12;16;2;0;F;4;deuda;Facil;Facil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;4;Buena
277;A;16;10;9;14;11;11;11;11;8;5;2;12;11;11;9;11;12;2;11;11;14;8;12;9;2;0;M;5;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;4;Media
278;A;15;13;12;17;12;12;12;11;12;12;2;11;11;14;12;11;13;2;13;11;11;12;13;12;2;0;M;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
279;A;15;10;9;15;12;11;11;12;11;12;2;12;12;12;11;12;12;2;14;12;11;10;14;10;2;0;M;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
280;A;15;10;11;13;11;11;12;12;11;5;2;12;11;12;11;12;5;2;11;11;15;10;14;6;2;0;M;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;4;Media
281;A;15;12;12;16;11;11;11;11;8;13;2;15;13;12;12;12;15;2;11;11;13;10;13;13;2;0;F;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
282;A;16;11;11;14;11;11;12;11;12;5;2;11;12;12;10;12;13;2;9;11;13;9;12;8;2;0;M;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;2;Media
283;A;15;16;16;18;15;12;12;13;15;15;2;16;15;13;13;16;16;3;16;16;15;15;14;17;3;0;F;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
284;A;15;11;14;17;12;12;11;12;11;12;2;12;14;12;10;13;16;2;13;12;12;8;13;13;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;2;Buena
285;A;15;14;15;18;14;14;14;14;14;15;3;16;16;16;15;15;15;3;15;16;16;12;14;14;3;0;F;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
286;A;16;12;12;16;11;11;12;12;8;6;2;13;13;13;14;12;15;2;15;14;15;11;12;13;2;0;F;4;deuda;Facil;Facil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;1;Buena
287;A;16;16;17;19;16;14;16;15;14;14;3;17;16;17;16;15;17;3;15;16;17;14;15;17;3;0;F;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
288;A;15;13;11;15;11;12;11;11;11;12;2;13;13;13;13;13;14;2;11;11;13;11;13;12;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;4;Media
289;A;16;13;13;18;13;12;12;12;12;13;2;13;14;14;13;14;14;2;15;14;14;13;15;15;3;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
290;A;16;11;12;14;11;11;11;12;11;12;2;14;13;11;13;13;14;2;11;11;13;8;13;13;2;0;F;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
291;A;16;14;14;20;14;13;14;13;13;14;2;14;15;14;15;14;14;3;14;16;15;14;13;17;3;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
292;A;16;12;11;16;12;12;12;12;12;13;2;12;13;13;12;13;14;2;11;11;12;11;10;11;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Facil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
293;A;15;13;12;16;11;11;11;12;8;8;2;14;11;11;11;12;16;2;16;11;11;13;16;12;2;0;M;5;deuda;Facil;Facil;Ni Facil ni Dificil;Facil;Bueno;3 horas;Satisfecho;1;Buena
294;A;16;16;16;18;16;16;14;16;15;13;3;14;14;14;16;15;13;3;17;15;15;17;15;17;3;0;M;4;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
295;A;16;9;7;13;11;11;11;9;5;5;1;11;11;11;8;11;6;2;11;11;12;9;11;9;2;0;M;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;2;Media
296;A;16;9;10;16;11;11;11;12;10;6;2;12;11;10;9;11;13;2;11;11;11;8;12;11;2;0;F;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
297;A;15;11;12;17;11;11;9;12;11;8;2;14;11;11;11;13;14;2;11;11;11;7;12;10;2;0;F;4;deuda;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Ni Facil ni Dificil;Indiferente;2 horas;Indiferente;3;Media
298;B;15;12;11;13;11;11;12;11;11;6;2;16;13;16;13;13;14;3;12;11;12;11;9;10;2;0;F;4;deuda;Ni Facil ni Dificil;Facil;Ni Facil ni Dificil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;2;Buena
299;B;15;14;16;19;13;12;12;12;12;13;2;15;15;16;14;13;17;3;11;11;12;11;13;13;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Facil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;1;Buena
300;B;15;12;13;17;12;13;14;14;13;11;2;16;16;17;14;12;15;3;11;12;13;12;11;10;2;0;M;4;deuda;Ni Facil ni Dificil;Facil;Facil;Ni Facil ni Dificil;Bueno;3 horas;Satisfecho;1;Buena
